Prepared by https://satya-data.blogspot.com,,,,,,,,,,,,,,
Season Number,Name,Profession,Entry Date,Elimination Date,Elimination Week Number,Wild Card,Winner,Season Length,Number of Housemates,Season Start Date,Season End Date,Host Name,Prize Money (INR),Broadcasted By
1,Abhijeet Burman,Actor,17-Jun-13,,12,No,0,90,15,17-Jun-13,14-Sep-13,Mithun Chakraborthy,0 ,ETV Bangla
1,Aneek Dhar,Singer,17-Jun-13,NA,NA,No,1,90,15,17-Jun-13,14-Sep-13,Mithun Chakraborthy,"30,00,000",ETV Bangla
1,Iris Maity,Actress,17-Jun-13,,7,No,0,90,15,17-Jun-13,14-Sep-13,Mithun Chakraborthy,0 ,ETV Bangla
1,Kais Kalim,Gym Trainer,17-Jun-13,,1,No,0,90,15,17-Jun-13,14-Sep-13,Mithun Chakraborthy,0 ,ETV Bangla
1,Koneenica Banerjee,Actress,17-Jun-13,,13,No,0,90,15,17-Jun-13,14-Sep-13,Mithun Chakraborthy,0 ,ETV Bangla
1,Mahesh Jalan,Astrologer,17-Jun-13,,5,No,0,90,15,17-Jun-13,14-Sep-13,Mithun Chakraborthy,0 ,ETV Bangla
1,Mallika Majumdar,Actress,17-Jun-13,,11,No,0,90,15,17-Jun-13,14-Sep-13,Mithun Chakraborthy,0 ,ETV Bangla
1,Manabi Banerjee,Author,17-Jun-13,,3,No,0,90,15,17-Jun-13,14-Sep-13,Mithun Chakraborthy,0 ,ETV Bangla
1,Nandini Pal,Presenter,17-Jun-13,,9,No,0,90,15,17-Jun-13,14-Sep-13,Mithun Chakraborthy,0 ,ETV Bangla
1,Rudranil Ghosh,Actor,17-Jun-13,,13,No,0,90,15,17-Jun-13,14-Sep-13,Mithun Chakraborthy,0 ,ETV Bangla
1,Sampurna Lahiri,Model,17-Jun-13,,6,No,0,90,15,17-Jun-13,14-Sep-13,Mithun Chakraborthy,0 ,ETV Bangla
1,Sudipta Chakraborty,Actress,17-Jun-13,,13,No,0,90,15,17-Jun-13,14-Sep-13,Mithun Chakraborthy,0 ,ETV Bangla
1,Vikram Chatterjee,Soap Actor,17-Jun-13,,8,No,0,90,15,17-Jun-13,14-Sep-13,Mithun Chakraborthy,0 ,ETV Bangla
1,Kartik Das Baul,Singer,,,10,Yes,0,90,15,17-Jun-13,14-Sep-13,Mithun Chakraborthy,0 ,ETV Bangla
1,Carlyta Mouhini,International star,,,12,Yes,0,90,15,17-Jun-13,14-Sep-13,Mithun Chakraborthy,0 ,ETV Bangla
2,Aditi Chakraborty,Choreographer,04-Apr-16,,,No,0,97,15,04-Apr-16,15-Jul-16,Jeet,0,Colors Bangla 
2,Apurbo Roy,Comedian,04-Apr-16,,,No,0,97,15,04-Apr-16,15-Jul-16,Jeet,0,Colors Bangla 
2,Ena Saha,,04-Apr-16,,,No,0,97,15,04-Apr-16,15-Jul-16,Jeet,0,Colors Bangla 
2,Joyjit Banerjee,Soap Actor,04-Apr-16,,,No,1,97,15,04-Apr-16,15-Jul-16,Jeet,"30,00,000",Colors Bangla 
2,Kamalika Banerjee,Soap Actress,04-Apr-16,,,No,0,97,15,04-Apr-16,15-Jul-16,Jeet,0,Colors Bangla 
2,Mainak Banerjee,Actor,04-Apr-16,,,No,0,97,15,04-Apr-16,15-Jul-16,Jeet,0,Colors Bangla 
2,Manabi Bandyopadhyay,,04-Apr-16,,,No,0,97,15,04-Apr-16,15-Jul-16,Jeet,0,Colors Bangla 
2,Mikhail Bora,,04-Apr-16,,,No,0,97,15,04-Apr-16,15-Jul-16,Jeet,0,Colors Bangla 
2,Prity Biswas,Soap Actress,04-Apr-16,,,No,0,97,15,04-Apr-16,15-Jul-16,Jeet,0,Colors Bangla 
2,Priya Paul,Soap Actress,04-Apr-16,,,No,0,97,15,04-Apr-16,15-Jul-16,Jeet,0,Colors Bangla 
2,Rii Sen,Actress,04-Apr-16,,,No,0,97,15,04-Apr-16,15-Jul-16,Jeet,0,Colors Bangla 
2,Sandy Rong,,04-Apr-16,,,No,0,97,15,04-Apr-16,15-Jul-16,Jeet,0,Colors Bangla 
2,Shilajit Majumder,Singer,04-Apr-16,,,No,0,97,15,04-Apr-16,15-Jul-16,Jeet,0,Colors Bangla 
2,Aviral Sachdev,Roadies,04-Apr-16,,,,0,97,15,04-Apr-16,15-Jul-16,Jeet,0,Colors Bangla 
2,Srabanti Banerjee,Actress,04-Apr-16,,,,0,97,15,04-Apr-16,15-Jul-16,Jeet,0,Colors Bangla 
