Prepared by https://satya-data.blogspot.com,,,,,,,,,,,,,,,
Season Number,Name,Profession,Entry Date,Elimination Date,Elimination Week Number,Wild Card,Season Length,Number of Housemates,Season Start Date,Season End Date,Host Name,Prize Money (INR),Broadcasted By,Language,Winner
1,Amit Sadh,Soap Actor,03-Nov-06,,,No,86,15,03-Nov-06,26-Jan-07,Arshad Warsi,0 ,Sony TV,Hindi,0
1,Anupama Verma,Model,03-Nov-06,,,No,86,15,03-Nov-06,26-Jan-07,Arshad Warsi,0 ,Sony TV,Hindi,0
1,Aryan Vaid,Pageant Winner,03-Nov-06,,,No,86,15,03-Nov-06,26-Jan-07,Arshad Warsi,0 ,Sony TV,Hindi,0
1,Baba Sehgal,Singer,03-Nov-06,,,No,86,15,03-Nov-06,26-Jan-07,Arshad Warsi,0 ,Sony TV,Hindi,0
1,Bobby Darling,LGBT,03-Nov-06,,,No,86,15,03-Nov-06,26-Jan-07,Arshad Warsi,0 ,Sony TV,Hindi,0
1,Carol Gracias,Model,03-Nov-06,26-Jan-07,,No,86,15,03-Nov-06,26-Jan-07,Arshad Warsi,0 ,Sony TV,Hindi,0
1,Deepak Tijori,Film Star,03-Nov-06,,,No,86,15,03-Nov-06,26-Jan-07,Arshad Warsi,0 ,Sony TV,Hindi,0
1,Kashmira Shah,Film Star,03-Nov-06,,,No,86,15,03-Nov-06,26-Jan-07,Arshad Warsi,0 ,Sony TV,Hindi,0
1,Ragini Shetty,Commoner,03-Nov-06,,,No,86,15,03-Nov-06,26-Jan-07,Arshad Warsi,0 ,Sony TV,Hindi,0
1,Rahul Roy,Film Star,03-Nov-06,NA,NA,No,86,15,03-Nov-06,26-Jan-07,Arshad Warsi,"1,00,00,000",Sony TV,Hindi,1
1,Rakhi Sawant,Item Girl,03-Nov-06,,,No,86,15,03-Nov-06,26-Jan-07,Arshad Warsi,0 ,Sony TV,Hindi,0
1,Ravi Kishan,Film Star,03-Nov-06,26-Jan-07,,No,86,15,03-Nov-06,26-Jan-07,Arshad Warsi,0 ,Sony TV,Hindi,0
1,Roopali Ganguly,Soap Actress,03-Nov-06,,,No,86,15,03-Nov-06,26-Jan-07,Arshad Warsi,0 ,Sony TV,Hindi,0
1,Salil Ankola,Sportsperson,03-Nov-06,,,No,86,15,03-Nov-06,26-Jan-07,Arshad Warsi,0 ,Sony TV,Hindi,0
2,Ahsaan Qureshi  ,Comedian,17-Aug-08,,9,No,98,15,17-Aug-08,22-Nov-08,Shilpa Shetty,0 ,Colors,Hindi,0
2,Alina Wadiwala  ,Model,17-Aug-08,,5,No,98,15,17-Aug-08,22-Nov-08,Shilpa Shetty,0 ,Colors,Hindi,0
2,Ashutosh Kaushik,Reality Show Alumni,17-Aug-08,NA,NA,No,98,15,17-Aug-08,22-Nov-08,Shilpa Shetty,"1,00,00,000",Colors,Hindi,1
2,Debojit Saha    ,Singer,17-Aug-08,,10,No,98,15,17-Aug-08,22-Nov-08,Shilpa Shetty,0 ,Colors,Hindi,0
2,Diana Hayden    ,Pageant Winner,17-Aug-08,,12,No,98,15,17-Aug-08,22-Nov-08,Shilpa Shetty,0 ,Colors,Hindi,0
2,Jade Goody      ,International Star,17-Aug-08,NA,NA,No,98,15,17-Aug-08,22-Nov-08,Shilpa Shetty,0 ,Colors,Hindi,0
2,Ketaki Dave     ,Soap Actress,17-Aug-08,,4,No,98,15,17-Aug-08,22-Nov-08,Shilpa Shetty,0 ,Colors,Hindi,0
