Prepared by https://satya-data.blogspot.com,,,,,,,,,,,,,,
Season Number,Name,Profession,Entry Date,Elimination Date,Elimination Week Number,Wild Card,Winner,Season Length,Number of Housemates,Season Start Date,Season End Date,Host Name,Prize Money (INR),Broadcasted By
1,Anushree,Anchor,24-Mar-13,,Week 11,No,0,98,15,24-Mar-13,30-Jun-13,Sudeep,0 ,ETV Kannada
1,Aparna,Anchor,24-Mar-13,,Week 6,No,0,98,15,24-Mar-13,30-Jun-13,Sudeep,0 ,ETV Kannada
1,Arun Sagar,Art Director,24-Mar-13,30-Jun-13,Week 14,No,0,98,15,24-Mar-13,30-Jun-13,Sudeep,0 ,ETV Kannada
1,Chandrika,Actress,24-Mar-13,,Week 13,No,0,98,15,24-Mar-13,30-Jun-13,Sudeep,0 ,ETV Kannada
1,Jayalakshmi,Nurse,24-Mar-13,,Week 7,No,0,98,15,24-Mar-13,30-Jun-13,Sudeep,0 ,ETV Kannada
1,Narendra Babu Sharma,Anchor,24-Mar-13,30-Jun-13,Week 14,No,0,98,15,24-Mar-13,30-Jun-13,Sudeep,0 ,ETV Kannada
1,Nikita Thukral,Actress,24-Mar-13,30-Jun-13,Week 14,No,0,98,15,24-Mar-13,30-Jun-13,Sudeep,0 ,ETV Kannada
1,Rishi Kumar,Swamiji,24-Mar-13,,Week 4,No,0,98,15,24-Mar-13,30-Jun-13,Sudeep,0 ,ETV Kannada
1,Sanjjanaa,Actress,24-Mar-13,,Week 2,No,0,98,15,24-Mar-13,30-Jun-13,Sudeep,0 ,ETV Kannada
1,Shweta Pandit,Actress,24-Mar-13,,Week 3,No,0,98,15,24-Mar-13,30-Jun-13,Sudeep,0 ,ETV Kannada
1,Thilak Shekar,Actor,24-Mar-13,,Week 6,No,0,98,15,24-Mar-13,30-Jun-13,Sudeep,0 ,ETV Kannada
1,Vijay Raghavendra,Actor,24-Mar-13,NA,NA,No,1,98,15,24-Mar-13,30-Jun-13,Sudeep,"50,00,000",ETV Kannada
1,Vinayak Joshi,RJ,24-Mar-13,,Week 5,No,0,98,15,24-Mar-13,30-Jun-13,Sudeep,0 ,ETV Kannada
1,Rohan Gowda,Reality Show Alumni,,,Week 8,Yes,0,98,15,24-Mar-13,30-Jun-13,Sudeep,0 ,ETV Kannada
1,Rishika Singh,Actress,,,Week 9,Yes,0,98,15,24-Mar-13,30-Jun-13,Sudeep,0 ,ETV Kannada
2,Aadhi Lokesh,,29-Jun-14,,Week 9,No,0,98,15,29-Jun-14,5-Oct-14,Sudeep,0 ,Suvarna
2,Akul Balaji,Anchor,29-Jun-14,NA,NA,No,1,98,15,29-Jun-14,5-Oct-14,Sudeep,"50,00,000",Suvarna
2,Anita Bhat,,29-Jun-14,,Week 1,No,0,98,15,29-Jun-14,5-Oct-14,Sudeep,0 ,Suvarna
2,Anupama Bhat,Anchor,29-Jun-14,,Week 13,No,0,98,15,29-Jun-14,5-Oct-14,Sudeep,0 ,Suvarna
2,Deepika Kamaiah,Actress,29-Jun-14,,Week 14,No,0,98,15,29-Jun-14,5-Oct-14,Sudeep,0 ,Suvarna
2,Harshika Poonacha,Actress,29-Jun-14,,Week 7,No,0,98,15,29-Jun-14,5-Oct-14,Sudeep,0 ,Suvarna
2,Laya Kokila,Comedian,29-Jun-14,,Week 4,No,0,98,15,29-Jun-14,5-Oct-14,Sudeep,0 ,Suvarna
2,Mayur Patel,Actor,29-Jun-14,,Week 6,No,0,98,15,29-Jun-14,5-Oct-14,Sudeep,0 ,Suvarna
2,Neethu Shetty,Actress,29-Jun-14,,Week 11,No,0,98,15,29-Jun-14,5-Oct-14,Sudeep,0 ,Suvarna
2,Rohith Patel,RJ,29-Jun-14,,Week 10,No,0,98,15,29-Jun-14,5-Oct-14,Sudeep,0 ,Suvarna
2,Santhosh Aryan,Actor,29-Jun-14,,Week 10,No,0,98,15,29-Jun-14,5-Oct-14,Sudeep,0 ,Suvarna
2,Shakeela,Actress,29-Jun-14,,Week 3,No,0,98,15,29-Jun-14,5-Oct-14,Sudeep,0 ,Suvarna
2,Srujan Lokesh,Actor,29-Jun-14,,Week 14,No,0,98,15,29-Jun-14,5-Oct-14,Sudeep,0 ,Suvarna
2,Swetha Changappa,Soap Actress,29-Jun-14,,Week 14,No,0,98,15,29-Jun-14,5-Oct-14,Sudeep,0 ,Suvarna
2,Guruprasad,Director,,,Week 12,Yes,0,98,15,29-Jun-14,5-Oct-14,Sudeep,0 ,Suvarna
3,Bhavana Belegere,Anchor,25-Oct-15,,Week 10,No,0,98,18,25-Oct-15,31-Jan-16,Sudeep,0 ,Colors Kannada
3,Chandan Kumar,Soap Actor,25-Oct-15,,Week 14,No,0,98,18,25-Oct-15,31-Jan-16,Sudeep,0 ,Colors Kannada
3,Huccha Venkat,Actor,25-Oct-15,,NA,No,0,98,18,25-Oct-15,31-Jan-16,Sudeep,0 ,Colors Kannada
3,Jayashree Ramaiah,Model,25-Oct-15,,Week 2,No,0,98,18,25-Oct-15,31-Jan-16,Sudeep,0 ,Colors Kannada
3,Kruthika Ravindra,Soap Actress,25-Oct-15,,Week 9,No,0,98,18,25-Oct-15,31-Jan-16,Sudeep,0 ,Colors Kannada
3,Madhuri Itagi,Actress,25-Oct-15,,Week 1,No,0,98,18,25-Oct-15,31-Jan-16,Sudeep,0 ,Colors Kannada
3,Master Anand,Actor,25-Oct-15,,Week 14,No,0,98,18,25-Oct-15,31-Jan-16,Sudeep,0 ,Colors Kannada
3,Neha Gowda,Air Hostess,25-Oct-15,,Week 6,No,0,98,18,25-Oct-15,31-Jan-16,Sudeep,0 ,Colors Kannada
3,Neravanda Aiyappa,Sportsperson,25-Oct-15,,Week 13,No,0,98,18,25-Oct-15,31-Jan-16,Sudeep,0 ,Colors Kannada
3,Nethra,RJ,25-Oct-15,,Week 7,No,0,98,18,25-Oct-15,31-Jan-16,Sudeep,0 ,Colors Kannada
3,Pooja Gandhi,Actress,25-Oct-15,,Week 14,No,0,98,18,25-Oct-15,31-Jan-16,Sudeep,0 ,Colors Kannada
3,Ravi Mooruru,Singer,25-Oct-15,,Week 4,No,0,98,18,25-Oct-15,31-Jan-16,Sudeep,0 ,Colors Kannada
3,Rehman Hassan,TV news presenter,25-Oct-15,,Week 14,No,0,98,18,25-Oct-15,31-Jan-16,Sudeep,0 ,Colors Kannada
3,Shruti,Actress,25-Oct-15,NA,NA,No,1,98,18,25-Oct-15,31-Jan-16,Sudeep,"50,00,000",Colors Kannada
3,Tsunami Kitty,Reality Show Alumni,25-Oct-15,,Week 12,No,0,98,18,25-Oct-15,31-Jan-16,Sudeep,0 ,Colors Kannada
3,Mithra,Comedian,,,Week 8,Yes,0,98,18,25-Oct-15,31-Jan-16,Sudeep,0 ,Colors Kannada
3,Gowthami Gowda,Actress,,,Week 12,Yes,0,98,18,25-Oct-15,31-Jan-16,Sudeep,0 ,Colors Kannada
3,Sushma Veer,Theatre and Dance artist,,,Week 11,Yes,0,98,18,25-Oct-15,31-Jan-16,Sudeep,0 ,Colors Kannada
4,Bhuvan Ponnanna,Model,09-Oct-16,,,No,0,112,18,09-Oct-16,29-Jan-17,Sudeep,0 ,Colors Kannada
4,Chaitra,Singer,09-Oct-16,,,No,0,112,18,09-Oct-16,29-Jan-17,Sudeep,0 ,Colors Kannada
4,Dodda Ganesh,Sportsperson,09-Oct-16,,,No,0,112,18,09-Oct-16,29-Jan-17,Sudeep,0 ,Colors Kannada
4,Karunya Ram ,Actress,09-Oct-16,,,No,0,112,18,09-Oct-16,29-Jan-17,Sudeep,0 ,Colors Kannada
4,Kavya Shastri,TV news presenter,09-Oct-16,,,No,0,112,18,09-Oct-16,29-Jan-17,Sudeep,0 ,Colors Kannada
4,Keerthi Kumar,program producer,09-Oct-16,,,No,0,112,18,09-Oct-16,29-Jan-17,Sudeep,0 ,Colors Kannada
4,Malavika Avinash,Actress,09-Oct-16,,,No,0,112,18,09-Oct-16,29-Jan-17,Sudeep,0 ,Colors Kannada
4,Mohan Shankar,Actor,09-Oct-16,,,No,0,112,18,09-Oct-16,29-Jan-17,Sudeep,0 ,Colors Kannada
4,Niranjan Deshpande,RJ,09-Oct-16,,,No,0,112,18,09-Oct-16,29-Jan-17,Sudeep,0 ,Colors Kannada
4,Pratham,Director,09-Oct-16,NA,NA,No,1,112,18,09-Oct-16,29-Jan-17,Sudeep,"50,00,000",Colors Kannada
4,Rekha,Actress,09-Oct-16,,,No,0,112,18,09-Oct-16,29-Jan-17,Sudeep,0 ,Colors Kannada
4,Sanjana Chidanand,Soap Actress,09-Oct-16,,,No,0,112,18,09-Oct-16,29-Jan-17,Sudeep,0 ,Colors Kannada
4,Shalini Satyanarayan,,09-Oct-16,,,No,0,112,18,09-Oct-16,29-Jan-17,Sudeep,0 ,Colors Kannada
4,Sheetal Shetty,TV news presenter,09-Oct-16,,,No,0,112,18,09-Oct-16,29-Jan-17,Sudeep,0 ,Colors Kannada
4,Vanishree,,09-Oct-16,,,No,0,112,18,09-Oct-16,29-Jan-17,Sudeep,0 ,Colors Kannada
4,Omprakash Rao,Director,,,,Yes,0,112,18,09-Oct-16,29-Jan-17,Sudeep,0 ,Colors Kannada
4,Sukrutha Wagle,Actress,,,,Yes,0,112,18,09-Oct-16,29-Jan-17,Sudeep,0 ,Colors Kannada
4,Masthan Chandra,Actor,,,,Yes,0,112,18,09-Oct-16,29-Jan-17,Sudeep,0 ,Colors Kannada
5,Anupama Gowda,Soap Actress,15-Oct-17,,,No,,,17,15-Oct-17,,Sudeep,,Colors Super
5,Ashitha Chandrappa,Soap Actress,15-Oct-17,,,No,,,17,15-Oct-17,,Sudeep,,Colors Super
5,Chandan Shetty,Singer,15-Oct-17,,,No,,,17,15-Oct-17,,Sudeep,,Colors Super
5,Dayal Padmanabhan,Actor,15-Oct-17,,,No,,,17,15-Oct-17,,Sudeep,,Colors Super
5,Divakar,Commoner,15-Oct-17,,,No,,,17,15-Oct-17,,Sudeep,,Colors Super
5,Jagan Chandrashekhar,Soap Actress,15-Oct-17,,,No,,,17,15-Oct-17,,Sudeep,,Colors Super
5,Jaya Sreenivasan,Numerologist,15-Oct-17,,,No,,,17,15-Oct-17,,Sudeep,,Colors Super
5,Karthik Jayaram,Soap Actress,15-Oct-17,,,No,,,17,15-Oct-17,,Sudeep,,Colors Super
5,Krishi Thapanda,Actor,15-Oct-17,,,No,,,17,15-Oct-17,,Sudeep,,Colors Super
5,Megha,Commoner,15-Oct-17,,,No,,,17,15-Oct-17,,Sudeep,,Colors Super
5,Niveditha Gowda,Commoner,15-Oct-17,,,No,,,17,15-Oct-17,,Sudeep,,Colors Super
5,Riyaz Basha,Commoner,15-Oct-17,,,No,,,17,15-Oct-17,,Sudeep,,Colors Super
5,Sameer Acharya,Commoner,15-Oct-17,,,No,,,17,15-Oct-17,,Sudeep,,Colors Super
5,Shruthi Prakash,Soap Actress,15-Oct-17,,,No,,,17,15-Oct-17,,Sudeep,,Colors Super
5,Sihi Kahi Chandr,Artist,15-Oct-17,,,No,,,17,15-Oct-17,,Sudeep,,Colors Super
5,Suma Rajkumar,Commoner,15-Oct-17,,,No,,,17,15-Oct-17,,Sudeep,,Colors Super
5,Tejaswini Prakash,Actress,15-Oct-17,,,No,,,17,15-Oct-17,,Sudeep,,Colors Super
