Prepared by https://satya-data.blogspot.com,,,,,,,,,,,,,,,,
Season Number,Name,Profession,Gender,Entry Date,Elimination Date,Elimination Week Number,Wild Card,Season Length,Number of Housemates,Season Start Date,Season End Date,Host Name,Prize Money (INR),Broadcasted By,Language,Winner
1,Aditi Rai,Actress,Female,24-Jun-18,,14,No,98,18,24-Jun-18,30-Sep-18,Mohanlal,0,Asianet,Malayam,0
1,Anoop Chandran,Actor,Male,24-Jun-18,,10,No,98,18,24-Jun-18,30-Sep-18,Mohanlal,0,Asianet,Malayam,0
1,Archana Suseelan,Actress,Female,24-Jun-18,,13,No,98,18,24-Jun-18,30-Sep-18,Mohanlal,0,Asianet,Malayam,0
1,Aristo Suresh,Actor,Male,24-Jun-18,,14,No,98,18,24-Jun-18,30-Sep-18,Mohanlal,0,Asianet,Malayam,0
1,Basheer Bashi,Actor,Male,24-Jun-18,,12,No,98,18,24-Jun-18,30-Sep-18,Mohanlal,0,Asianet,Malayam,0
1,David John,Soap Actor,Male,24-Jun-18,,1,No,98,18,24-Jun-18,30-Sep-18,Mohanlal,0,Asianet,Malayam,0
1,Deepan Murali,Soap Actor,Male,24-Jun-18,,4,No,98,18,24-Jun-18,30-Sep-18,Mohanlal,0,Asianet,Malayam,0
1,Diya Sana,Activist,Female,24-Jun-18,,6,No,98,18,24-Jun-18,30-Sep-18,Mohanlal,0,Asianet,Malayam,0
1,Hima Shankar,Actress,Female,24-Jun-18,,11,No,98,18,24-Jun-18,30-Sep-18,Mohanlal,0,Asianet,Malayam,0
1,Manoj K. Verma,Businessman,Male,24-Jun-18,,NA,No,98,18,24-Jun-18,30-Sep-18,Mohanlal,0,Asianet,Malayam,0
1,Pearle Maaney,Actress,Female,24-Jun-18,,14,No,98,18,24-Jun-18,30-Sep-18,Mohanlal,0,Asianet,Malayam,0
1,Ranjini Haridas,TV Anchor,Female,24-Jun-18,,9,No,98,18,24-Jun-18,30-Sep-18,Mohanlal,0,Asianet,Malayam,0
1,Sabumon Abdusamad,TV Anchor,Male,24-Jun-18,NA,NA,No,98,18,24-Jun-18,30-Sep-18,Mohanlal,"1,00,00,000",Asianet,Malayam,1
1,Shweta Menon,Actress,Female,24-Jun-18,,5,No,98,18,24-Jun-18,30-Sep-18,Mohanlal,0,Asianet,Malayam,0
1,Sreelakshmi Sreekumar,Actress,Female,24-Jun-18,,4,No,98,18,24-Jun-18,30-Sep-18,Mohanlal,0,Asianet,Malayam,0
1,Srinish Aravind,Soap Actor,Male,24-Jun-18,,14,No,98,18,24-Jun-18,30-Sep-18,Mohanlal,0,Asianet,Malayam,0
1,Anjali Ameer,Actress,Female,,,NA,Yes,98,18,24-Jun-18,30-Sep-18,Mohanlal,0,Asianet,Malayam,0
1,Shiyas Kareem,Actor,Male,,,14,Yes,98,18,24-Jun-18,30-Sep-18,Mohanlal,0,Asianet,Malayam,0
