Prepared by https://satya-data.blogspot.com,,,,,,,,,,,,,,
Season Number,Name,Profession,Entry Date,Elimination Date,Elimination Week Number,Wild Card,Winner,Season Length,Number of Housemates,Season Start Date,Season End Date,Host Name,Prize Money (INR),Broadcasted By
1,Aarti Solanki,Comedian,15-Apr-18,,1,No,0,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,0 ,Colors Marathi
1,Aastad Kale,Actor,15-Apr-18,,14,No,0,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,0 ,Colors Marathi
1,Anil Thatte,Journalist,15-Apr-18,,4,No,0,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,0 ,Colors Marathi
1,Bhushan Kadu ,Actor,15-Apr-18,,9,No,0,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,0 ,Colors Marathi
1,Jui Gadkari,Actress,15-Apr-18,,7,No,0,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,0 ,Colors Marathi
1,Megha Dhade,Actress,15-Apr-18,NA,NA,No,1,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,"50,00,000 ",Colors Marathi
1,Pushkar Jog,Actor,15-Apr-18,,14,No,0,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,0 ,Colors Marathi
1,Rajesh Shringarpure,Actor,15-Apr-18,,5,No,0,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,0 ,Colors Marathi
1,Resham Tipnis ,Actress,15-Apr-18,,13,No,0,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,0 ,Colors Marathi
1,Rutuja Dharmadhikari,Actress,15-Apr-18,,6,No,0,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,0 ,Colors Marathi
1,Sai Lokur ,Actress,15-Apr-18,,14,No,0,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,0 ,Colors Marathi
1,Smita Gondkar,Actress,15-Apr-18,,14,No,0,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,0 ,Colors Marathi
1,Sushant Shelar,Actor,15-Apr-18,,8,No,0,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,0 ,Colors Marathi
1,Usha Nadkarni ,Actress,15-Apr-18,,11,No,0,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,0 ,Colors Marathi
1,Vineet Bhonde,Actor,15-Apr-18,,2,No,0,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,0 ,Colors Marathi
1,Sharmishtha Raut,Actress,,,14,Yes,0,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,0 ,Colors Marathi
1,Tyagraj Khadilkar ,Actor,,,8,Yes,0,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,0 ,Colors Marathi
1,Nandkishor Chaughule,Actor,,,12,Yes,0,98,18,15-Apr-18,22-Jul-18,Mahesh Manjrekar,0 ,Colors Marathi
2,Abhijit Awade Bichukale,Politician,26-May-19,,4,No,0,98,17,26-May-19,01-Sep-19,Mahesh Manjrekar,0 ,Colors Marathi
2,Abhijit Kelkar,Actor,26-May-19,,11,No,0,98,17,26-May-19,01-Sep-19,Mahesh Manjrekar,0 ,Colors Marathi
2,Digamber Naik,Actor,26-May-19,,3,No,0,98,17,26-May-19,01-Sep-19,Mahesh Manjrekar,0 ,Colors Marathi
2,Kishori Shahane Vij,Actress,26-May-19,,14,No,0,98,17,26-May-19,01-Sep-19,Mahesh Manjrekar,0 ,Colors Marathi
2,Maadhav C Deochake ,Actor,26-May-19,,9,No,0,98,17,26-May-19,01-Sep-19,Mahesh Manjrekar,0 ,Colors Marathi
2,Maitthily Jawkar,Actress,26-May-19,,2,No,0,98,17,26-May-19,01-Sep-19,Mahesh Manjrekar,0 ,Colors Marathi
2,Neha Shitole,Actress,26-May-19,,14,No,0,98,17,26-May-19,01-Sep-19,Mahesh Manjrekar,0 ,Colors Marathi
2,Parag Kanhere,Chef,26-May-19,,5,No,0,98,17,26-May-19,01-Sep-19,Mahesh Manjrekar,0 ,Colors Marathi
2,Rupali Bhosale,Soap Actress,26-May-19,,10,No,0,98,17,26-May-19,01-Sep-19,Mahesh Manjrekar,0 ,Colors Marathi
2,Shiv Thakre,Reality Show Alumni,26-May-19,NA,NA,No,1,98,17,26-May-19,01-Sep-19,Mahesh Manjrekar,"50,00,000 ",Colors Marathi
2,Shivani Surve,Actress,26-May-19,,3,No,0,98,17,26-May-19,01-Sep-19,Mahesh Manjrekar,0 ,Colors Marathi
2,Surekha Punekar ,Dancer,26-May-19,,6,No,0,98,17,26-May-19,01-Sep-19,Mahesh Manjrekar,0 ,Colors Marathi
2,Vaishali Mhade,Singer,26-May-19,,8,No,0,98,17,26-May-19,01-Sep-19,Mahesh Manjrekar,0 ,Colors Marathi
2,Veena Jagtap,Actress,26-May-19,,14,No,0,98,17,26-May-19,01-Sep-19,Mahesh Manjrekar,0 ,Colors Marathi
2,Vidyadhar (Bappa) Joshi,Actor,26-May-19,,4,No,0,98,17,26-May-19,01-Sep-19,Mahesh Manjrekar,0 ,Colors Marathi
2,Heena Panchal ,Dancer,,,12,Yes,0,98,17,26-May-19,01-Sep-19,Mahesh Manjrekar,0 ,Colors Marathi
2,Aroh Velankar,Actor,,,14,Yes,0,98,17,26-May-19,01-Sep-19,Mahesh Manjrekar,0 ,Colors Marathi
,,,,,,,,,,,,,,
