Prepared by https://satya-data.blogspot.com,,,,,,,,,,,,,,
Season Number,Name,Profession,Entry Date,Elimination Date,Elimination Week Number,Wild Card,Winner,Season Length,Number of Housemates,Season Start Date,Season End Date,Host Name,Prize Money (INR),Broadcasted By
1,Sri,Actor,25-Jun-17,,NA,No,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
1,Anuya Bhagvath,Actress,25-Jun-17,,Week 1,No,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
1,Vaiyapuri,Actor,25-Jun-17,,Week 12,No,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
1,Gayathri Raguram,Actress,25-Jun-17,,Week 8,No,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
1,Bharani,Actor,25-Jun-17,,Week 2,No,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
1,Raiza Wilson,Model,25-Jun-17,,Week 9,No,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
1,Snehan,Lyricist,25-Jun-17,30-Sep-17,Week 14,No,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
1,Oviya,Actress,25-Jun-17,,NA,No,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
1,Harathi Ganesh,Actress,25-Jun-17,,Week 3,No,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
1,Aarav,Model,25-Jun-17,NA,NA,No,1,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,"50,00,000",Start Vijay
1,Ganja Karuppu,Actor,25-Jun-17,,Week 2,No,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
1,Maria Juliana,Nurse,25-Jun-17,,Week 6,No,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
1,Ganesh Venkatraman,Actor,25-Jun-17,30-Sep-17,Week 14,No,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
1,Shakthi,Actor,25-Jun-17,,Week 7,No,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
1,Namitha,Actress,25-Jun-17,,Week 4,No,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
1,Bindu Madhavi,Actress,,28-Sep-17,Week 14,Yes,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
1,Suja Varunee,Actress,,,Week 13,Yes,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
1,Harish Kalyan,Actor,,30-Sep-17,Week 14,Yes,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
1,Kaajal Pasupathi,Actress,,,Week 10,Yes,0,97,19,25-Jun-17,30-Sep-17,Kamal Haasan,0 ,Start Vijay
